Company,Website,Location,Description
ACRO Biosystems,https://acrobiosystems.com.cn/,DE - Newark,"ACROBiosystems | Delivering solutions such as proteins, antibodies, kits, GMP-grade reagents, and custom services to overcome challenges from discovery to the clinic."
Emery Pharma,https://emerypharma.com/,CA - Alameda,"Emery Pharma: CRO supporting discovery for small molecules, biologics (mAbs, ADCs, gene therapy, botanicals). Expertise: HPLC, GC, LC-MS/MS, HRMS, GMP NMR, analytical & bioanalytical, CMC, LBA, micro & cell biology, antimicrobial screening, consulting, R&D & GLP/cGMP across the entire pipeline."
Selvita,https://selvita.com/,CA - South SF,"Selvita | Fully-integratedCROproviding multidisciplinary support in resolving the unique challenges of drug discovery, drug development and contract testing."
Icosagen Cell Factory,https://www.icosagen.com/services/,CA - San Francisco,"Partner with Icosagen, the biotechnology industry expert, in antibody discovery, protein production, cell line development, and GMP manufacturing."
Mispro Biotech Services,https://www.mispro.com/space-services,CA - South SF,Mispro is a contract vivarium organization (CVO) offering a network of full-service vivarium rental facilities for preclinical rodent studies.
Abbott,https://www.abbott.com/,CA - Alameda,Diabetes Care
Acepodia,https://www.acepodia.com/,CA - Alameda,Antibody-Cell Conjugation Therapy
AllCells,https://allcells.com/,CA - Alameda,"Cytokines, Stem Cells, Media, etc."
Alveo Technologies,https://www.alveotechnologies.com/,CA - Alameda,Diagnostic Devices
Apertor Pharmaceuticals,https://apertorpharma.com/,CA - Alameda,Molecular glues for therapeutic applications in oncology
CellFE,https://www.cellfebiotech.com/,CA - Alameda,Intracellular Delivery Platform for Gene-Editing
Emery Pharma,https://emerypharma.com/,CA - Alameda,"Emery Pharma: CRO supporting discovery for small molecules, biologics (mAbs, ADCs, gene therapy, botanicals). Expertise: HPLC, GC, LC-MS/MS, HRMS, GMP NMR, analytical & bioanalytical, CMC, LBA, micro & cell biology, antimicrobial screening, consulting, R&D & GLP/cGMP across the entire pipeline."
Ensigna Biosystems,https://ensigna.com/,CA - Alameda,Lab Services
Exelixis,https://www.exelixis.com/,CA - Alameda,Small Molecules
Genefab,https://www.genefab.com/,CA - Alameda,Gene Therapy Services
Infinimmune,https://www.infinimmune.com/,CA - Alameda,Human Antibody Therapeutics
iota Biosciences,https://iota.bio/,CA - Alameda,Implantable Bioelectronic Devices
iQ Biosciences,https://iqbiosciences.com/,CA - Alameda,Drug Discovery Services
Magnetic Insight,https://magneticinsight.com/,CA - Alameda,Magnetic Particle Imaging
Miist Therapeutics,https://www.miisttherapeutics.com/,CA - Alameda,Inhalable Therapies
