Company,Website,Location,Reason
A Priori Investments,http://www.aprioriinvestments.com,CT - Greenwich / NY - New York,"applying innovative statistical arbitrage strategies"
Acadian Asset Management,https://www.acadian-asset.com,MA - Boston,"systematic investment strategies that integrate fundamental insights"
AllianceBernstein,https://www.alliancebernstein.com,NY - New York,"excellence in quantitative equity and fixed income research"
AlphaSimplex,https://www.alphasimplex.com,MA - Boston,"analyzing market behaviors to adapt to changing environments"
Alyeska Investment Group,https://www.alyeskallc.com,IL - Chicago,"blending fundamental analysis with quantitative market-neutral strategies"
Ansatz Capital,https://ansatzcapital.com,NY - New York,"building systematic trading strategies for liquid markets"
AQR Capital Management,https://www.aqr.com,CT - Greenwich,"pioneering systematic investing and academic-driven financial research"
Aquatic Capital Management,https://www.aquatic.com,IL - Chicago,"building a cutting-edge high-frequency trading platform"
ART Advisors,N/A,NY - New York,"expertise in statistical arbitrage and high-frequency trading"
Arrowstreet Capital,https://www.arrowstreetcapital.com,MA - Boston,"identifying investment opportunities through advanced global equity models"
AXQ Capital,https://www.axqcap.com,NJ - Jersey City,"developing data-driven investment strategies right here in New Jersey"
Balyasny Asset Management,https://www.bamfunds.com,IL - Chicago / NY - New York,"integrating a world-class quantitative trading division within a multi-strategy framework"
Baupost Group,https://www.baupost.com,MA - Boston,"rigorous risk management and growing emphasis on data-driven insights"
BlackEdge Capital,https://www.blackedge.com,IL - Chicago,"specialized expertise in option market making and proprietary technology"
BlackRock,https://www.blackrock.com,NY - New York,"innovation in systematic active equity and the Aladdin platform"
Bluefin Capital Management,https://www.bluefincapital.com,NY - New York,"multi-strategy approach across equity fixed income and commodities"
Blueshift Asset Management,https://blueshift.am,NJ - Red Bank,"highly focused statistical arbitrage strategies developed here in New Jersey"
Boerboel Trading,https://www.boerboel.com,IL - Chicago,"expertise in agricultural and energy derivatives trading"
Boulder Hill Capital Management,https://www.boulderhillcap.com,NY - New York,"market-neutral volatility trading strategies"
BP Trading,https://www.bp.com,IL - Chicago,"sophisticated trading capabilities in global energy markets"
Brevan Howard,https://www.brevanhoward.com,NY - New York,"macro-focused quantitative strategies and risk management"
Bridgewater Associates,https://www.bridgewater.com,CT - Westport,"systematic approach to understanding the global economy"
Capstone,https://www.capstoneco.com,NY - New York,"volatility arbitrage and derivatives trading expertise"
Capula Investment Management,https://www.capulaglobal.com,CT - Greenwich,"innovative fixed income and macro quantitative strategies"
Castleton Commodities International,https://www.cci.com,CT - Stamford,"industry-leading research and trading in physical and financial commodities"
Caxton Associates,https://www.caxton.com,NJ - Princeton / NY - New York,"long-standing success in macro and systematic trading"
Centiva Capital,https://centivacapital.com,NY - New York,"high-frequency trading and market-making across global exchanges"
Cipher Capital,https://ciphercap.com,NY - New York,"quantitative strategies in the digital asset and crypto space"
Coatue,https://www.coatue.com,NY - New York,"leveraging data science to drive investment decisions in the technology sector"
Consolidated Trading,https://www.consolidatedtrading.com,IL - Chicago,"proprietary trading strategies in options and futures"
